genus,taxon_group,source
Afipia,Alphaproteobacteria,Salter2014
Aquabacterium,Alphaproteobacteria,Salter2014
Asticcacaulis,Alphaproteobacteria,Salter2014
Aurantimonas,Alphaproteobacteria,Salter2014
Beijerinckia,Alphaproteobacteria,Salter2014
Bosea,Alphaproteobacteria,Salter2014
Bradyrhizobium,Alphaproteobacteria,Salter2014
Brevundimonas,Alphaproteobacteria,Salter2014
Caulobacter,Alphaproteobacteria,Salter2014
Craurococcus,Alphaproteobacteria,Salter2014
Devosia,Alphaproteobacteria,Salter2014
Hoeflea,Alphaproteobacteria,Salter2014
Mesorhizobium,Alphaproteobacteria,Salter2014
Methylobacterium,Alphaproteobacteria,Salter2014
Novosphingobium,Alphaproteobacteria,Salter2014
Ochrobactrum,Alphaproteobacteria,Salter2014
Paracoccus,Alphaproteobacteria,Salter2014
Pedomicrobium,Alphaproteobacteria,Salter2014
Phyllobacterium,Alphaproteobacteria,Salter2014
Rhizobium,Alphaproteobacteria,Salter2014
Roseomonas,Alphaproteobacteria,Salter2014
Sphingobium,Alphaproteobacteria,Salter2014
Sphingomonas,Alphaproteobacteria,Salter2014
Sphingopyxis,Alphaproteobacteria,Salter2014
Acidovorax,Betaproteobacteria,Salter2014
Azoarcus,Betaproteobacteria,Salter2014
Azospira,Betaproteobacteria,Salter2014
Burkholderia,Betaproteobacteria,Salter2014
Comamonas,Betaproteobacteria,Salter2014
Cupriavidus,Betaproteobacteria,Salter2014
Curvibacter,Betaproteobacteria,Salter2014
Delftia,Betaproteobacteria,Salter2014
Duganella,Betaproteobacteria,Salter2014
Herbaspirillum,Betaproteobacteria,Salter2014
Janthinobacterium,Betaproteobacteria,Salter2014
Kingella,Betaproteobacteria,Salter2014
Leptothrix,Betaproteobacteria,Salter2014
Limnobacter,Betaproteobacteria,Salter2014
Massilia,Betaproteobacteria,Salter2014
Methylophilus,Betaproteobacteria,Salter2014
Methyloversatilis,Betaproteobacteria,Salter2014
Oxalobacter,Betaproteobacteria,Salter2014
Pelomonas,Betaproteobacteria,Salter2014
Polaromonas,Betaproteobacteria,Salter2014
Ralstonia,Betaproteobacteria,Salter2014
Schlegelella,Betaproteobacteria,Salter2014
Sulfuritalea,Betaproteobacteria,Salter2014
Undibacterium,Betaproteobacteria,Salter2014
Variovorax,Betaproteobacteria,Salter2014
Acinetobacter,Gammaproteobacteria,Salter2014
Enhydrobacter,Gammaproteobacteria,Salter2014
Enterobacter,Gammaproteobacteria,Salter2014
Escherichia,Gammaproteobacteria,Salter2014
Nevskia,Gammaproteobacteria,Salter2014
Pseudomonas,Gammaproteobacteria,Salter2014
Pseudoxanthomonas,Gammaproteobacteria,Salter2014
Psychrobacter,Gammaproteobacteria,Salter2014
Stenotrophomonas,Gammaproteobacteria,Salter2014
Xanthomonas,Gammaproteobacteria,Salter2014
Aeromicrobium,Actinobacteria,Salter2014
Arthrobacter,Actinobacteria,Salter2014
Beutenbergia,Actinobacteria,Salter2014
Brevibacterium,Actinobacteria,Salter2014
Corynebacterium,Actinobacteria,Salter2014
Curtobacterium,Actinobacteria,Salter2014
Dietzia,Actinobacteria,Salter2014
Geodermatophilus,Actinobacteria,Salter2014
Janibacter,Actinobacteria,Salter2014
Kocuria,Actinobacteria,Salter2014
Microbacterium,Actinobacteria,Salter2014
Micrococcus,Actinobacteria,Salter2014
Microlunatus,Actinobacteria,Salter2014
Patulibacter,Actinobacteria,Salter2014
Propionibacterium,Actinobacteria,Salter2014
Rhodococcus,Actinobacteria,Salter2014
Tsukamurella,Actinobacteria,Salter2014
Abiotrophia,Firmicutes,Salter2014
Bacillus,Firmicutes,Salter2014
Brevibacillus,Firmicutes,Salter2014
Brochothrix,Firmicutes,Salter2014
Facklamia,Firmicutes,Salter2014
Paenibacillus,Firmicutes,Salter2014
Streptococcus,Firmicutes,Salter2014
Chryseobacterium,Bacteroidetes,Salter2014
Dyadobacter,Bacteroidetes,Salter2014
Flavobacterium,Bacteroidetes,Salter2014
Hydrotalea,Bacteroidetes,Salter2014
Niastella,Bacteroidetes,Salter2014
Olivibacter,Bacteroidetes,Salter2014
Pedobacter,Bacteroidetes,Salter2014
Wautersiella,Bacteroidetes,Salter2014
Deinococcus,Deinococcus-Thermus,Salter2014
