breadth,media,media_sd,service,service_sd,credits,kinds
1,43867.0,0.0,30780.0,0.0,436997.0,1.0
2,55225.0,0.0,30780.0,0.0,481853.0,2.0
3,66200.0,0.0,30679.0,0.0,508099.0,3.0
4,79296.0,0.0,30357.0,0.0,531823.0,4.0
5,94334.0,0.0,30517.0,0.0,545437.0,5.0
6,102452.0,0.0,30472.0,0.0,559917.0,6.0
7,111740.0,0.0,30679.0,0.0,571539.0,7.0
8,118930.0,0.0,30705.0,0.0,586045.0,8.0
9,126753.0,0.0,30230.0,0.0,597788.0,8.0
10,128844.0,0.0,30418.0,0.0,587383.0,8.0
