breadth,rate,rate_sd,total,total_sd,survived,n,cv_total,cv_rate,det_total
1,184.10848693940736,1.8598664547671293,37021.416666666664,12535.439068049745,0.5833333333333334,12,33.85996592436292,1.0102013685980902,43867.0
2,227.32349929272678,5.0887361357980145,45791.916666666664,15717.03147693513,0.5833333333333334,12,34.3227202987466,2.238543816028979,55225.0
3,279.5432135776392,9.777543123010869,56577.833333333336,19922.615754843828,0.5833333333333334,12,35.21275839155587,3.497685741634108,66200.0
4,320.83170887487313,12.649416673792562,64832.166666666664,22799.661093307877,0.5833333333333334,12,35.167205209308975,3.9426952897370664,79296.0
5,374.8073076544935,15.073412703633963,75775.83333333333,26722.121346225944,0.5833333333333334,12,35.26470138398471,4.0216432272790685,94334.0
6,422.76199224534713,18.94092632784774,85284.33333333333,29925.800107275427,0.5833333333333334,12,35.08944601854435,4.480281263518955,102452.0
7,456.9412177992299,19.81486366254031,92625.16666666667,32936.58319706174,0.5833333333333334,12,35.55900019655752,4.336414158034335,111740.0
8,481.0115244642993,28.078687110234796,98051.25,35773.674051090085,0.5833333333333334,12,36.48466903898735,5.837425026667692,118930.0
9,499.27739501420865,36.221900023629885,102256.41666666667,38128.403081402175,0.5833333333333334,12,37.28705182941462,7.2548648076885325,126753.0
10,512.4017629933489,41.34836471677531,105159.0,39598.98635525456,0.5833333333333334,12,37.656297944307724,8.069520384790717,128844.0
