batteries,dark_frac,shed,harvests,survived,co2,end_day
0,0.0,0.5487847222222261,19.0,1.0,193.1586409214743,201.0
0,0.2,0.4811830357142822,17.0,1.0,217.78656108800027,201.0
0,0.4,0.1910937500000002,9.0,1.0,238.62390311600035,201.0
0,0.6,0.2925347222222225,5.0,0.0,247.59756647567627,187.0
0,0.8,0.1472457627118644,3.0,0.0,254.1000203488376,173.0
0,1.0,0.09375,1.0,0.0,252.9035209790215,145.0
3,0.0,0.5095486111111145,21.0,1.0,186.14389241999925,201.0
3,0.2,0.42979724702380995,21.0,1.0,217.1269824070001,201.0
3,0.4,0.1345000000000002,9.0,1.0,232.7332264580004,201.0
3,0.6,0.1789473684210526,5.0,0.0,244.2698971387104,187.0
3,0.8,0.0,3.0,0.0,253.2126315789482,172.0
3,1.0,0.0,1.0,0.0,251.88363636363732,144.0
