dark_frac,batteries,seed,shed_mean,harvests,survived,co2_mean,end_day
0,0,104729,0.5487847222222261,19,1,193.1586409214743,201
0,0,209458,0.5487847222222261,19,1,193.1586409214743,201
0,0,314187,0.5487847222222261,19,1,193.1586409214743,201
0,0,418916,0.5487847222222261,19,1,193.1586409214743,201
0,0,523645,0.5487847222222261,19,1,193.1586409214743,201
0,3,104729,0.5095486111111145,21,1,186.14389241999925,201
0,3,209458,0.5095486111111145,21,1,186.14389241999925,201
0,3,314187,0.5095486111111145,21,1,186.14389241999925,201
0,3,418916,0.5095486111111145,21,1,186.14389241999925,201
0,3,523645,0.5095486111111145,21,1,186.14389241999925,201
0.2,0,104729,0.4811830357142822,17,1,217.7865610880003,201
0.2,0,209458,0.4811830357142822,17,1,217.7865610880003,201
0.2,0,314187,0.4811830357142822,17,1,217.7865610880003,201
0.2,0,418916,0.4811830357142822,17,1,217.7865610880003,201
0.2,0,523645,0.4811830357142822,17,1,217.7865610880003,201
0.2,3,104729,0.42979724702381,21,1,217.1269824070001,201
0.2,3,209458,0.42979724702381,21,1,217.1269824070001,201
0.2,3,314187,0.42979724702381,21,1,217.1269824070001,201
0.2,3,418916,0.42979724702381,21,1,217.1269824070001,201
0.2,3,523645,0.42979724702381,21,1,217.1269824070001,201
0.4,0,104729,0.19109375000000026,9,1,238.62390311600032,201
0.4,0,209458,0.19109375000000026,9,1,238.62390311600032,201
0.4,0,314187,0.19109375000000026,9,1,238.62390311600032,201
0.4,0,418916,0.19109375000000026,9,1,238.62390311600032,201
0.4,0,523645,0.19109375000000026,9,1,238.62390311600032,201
0.4,3,104729,0.1345000000000002,9,1,232.73322645800042,201
0.4,3,209458,0.1345000000000002,9,1,232.73322645800042,201
0.4,3,314187,0.1345000000000002,9,1,232.73322645800042,201
0.4,3,418916,0.1345000000000002,9,1,232.73322645800042,201
0.4,3,523645,0.1345000000000002,9,1,232.73322645800042,201
0.6,0,104729,0.29253472222222254,5,0,247.59756647567627,187
0.6,0,209458,0.29253472222222254,5,0,247.59756647567627,187
0.6,0,314187,0.29253472222222254,5,0,247.59756647567627,187
0.6,0,418916,0.29253472222222254,5,0,247.59756647567627,187
0.6,0,523645,0.29253472222222254,5,0,247.59756647567627,187
0.6,3,104729,0.17894736842105266,5,0,244.26989713871038,187
0.6,3,209458,0.17894736842105266,5,0,244.26989713871038,187
0.6,3,314187,0.17894736842105266,5,0,244.26989713871038,187
0.6,3,418916,0.17894736842105266,5,0,244.26989713871038,187
0.6,3,523645,0.17894736842105266,5,0,244.26989713871038,187
0.8,0,104729,0.1472457627118644,3,0,254.1000203488376,173
0.8,0,209458,0.1472457627118644,3,0,254.1000203488376,173
0.8,0,314187,0.1472457627118644,3,0,254.1000203488376,173
0.8,0,418916,0.1472457627118644,3,0,254.1000203488376,173
0.8,0,523645,0.1472457627118644,3,0,254.1000203488376,173
0.8,3,104729,0,3,0,253.2126315789482,172
0.8,3,209458,0,3,0,253.2126315789482,172
0.8,3,314187,0,3,0,253.2126315789482,172
0.8,3,418916,0,3,0,253.2126315789482,172
0.8,3,523645,0,3,0,253.2126315789482,172
1,0,104729,0.09375,1,0,252.90352097902147,145
1,0,209458,0.09375,1,0,252.90352097902147,145
1,0,314187,0.09375,1,0,252.90352097902147,145
1,0,418916,0.09375,1,0,252.90352097902147,145
1,0,523645,0.09375,1,0,252.90352097902147,145
1,3,104729,0,1,0,251.88363636363732,144
1,3,209458,0,1,0,251.88363636363732,144
1,3,314187,0,1,0,251.88363636363732,144
1,3,418916,0,1,0,251.88363636363732,144
1,3,523645,0,1,0,251.88363636363732,144
