arm,seed,survived,end_day,co2_floor,co2_mean,o2_mean,harvests,failure
none,60013,1,301,5.023989632125614,71.90769523793503,383.49371007824897,11,
none,120026,1,301,5.025731053930138,78.48911422506922,383.4270958200945,11,
none,180039,0,87,5.613564677856137,70.18705155639631,371.0128596613211,2,Pressure fell below the abort limit. The tube was sealed and abandoned.
none,240052,1,301,5.024636624839056,73.55549291143761,383.46441201292293,12,
none,300065,0,219,5.256345907407285,66.0037830947161,381.05631543437664,6,Pressure fell below the abort limit. The tube was sealed and abandoned.
none,360078,1,301,5.023988572608285,72.15260833059115,383.3276603982152,11,
none,420091,0,237,5.28280174536369,70.30245086803751,381.44136783044223,8,Pressure fell below the abort limit. The tube was sealed and abandoned.
none,480104,1,301,5.1256029000723,64.35475215301824,383.59124436005,8,
none,540117,1,301,5.024004097092662,70.71432427063141,383.4084679703145,13,
none,600130,0,101,6.692891734989169,79.34013853241879,373.44331980164117,4,Pressure fell below the abort limit. The tube was sealed and abandoned.
none,660143,1,301,5.129392923639252,72.4734851254839,383.30960384164496,10,
none,720156,0,80,5.589740494725896,65.87345754587894,370.68228453581054,1,Pressure fell below the abort limit. The tube was sealed and abandoned.
worms,60013,1,301,5.02411984357465,84.95758196695874,382.2592477144594,12,
worms,120026,1,301,5.026267729679911,89.23920642054257,382.0342095160866,12,
worms,180039,0,87,5.613564677856137,70.84763018008591,370.65184696794853,2,Pressure fell below the abort limit. The tube was sealed and abandoned.
worms,240052,1,301,5.557984615481571,82.29310645379547,382.07992327992577,12,
worms,300065,0,219,5.26072264614595,70.4569005528146,380.03250756498215,6,Pressure fell below the abort limit. The tube was sealed and abandoned.
worms,360078,1,301,5.024182286529834,83.3440737191659,382.01630629371505,12,
worms,420091,0,237,5.875945650275518,78.35220670383733,380.08227066540303,8,Pressure fell below the abort limit. The tube was sealed and abandoned.
worms,480104,1,301,5.1941865262375915,68.1641619259773,382.4051042474953,8,
worms,540117,1,301,5.511390268529937,86.99791816053212,382.0726087370374,13,
worms,600130,0,101,7.322452767389118,80.89820863725974,372.7976647460699,4,Pressure fell below the abort limit. The tube was sealed and abandoned.
worms,660143,1,301,5.127898762834427,87.93445309489722,382.05164007318774,11,
worms,720156,0,80,5.589740494725896,68.7833489628543,370.5747668138605,2,Pressure fell below the abort limit. The tube was sealed and abandoned.
nitrifier,60013,1,301,5.023989632125614,71.90769523793503,383.49371007824897,11,
nitrifier,120026,1,301,5.025731053930138,78.48911422506922,383.4270958200945,11,
nitrifier,180039,0,87,5.613564677856137,70.18705155639631,371.0128596613211,2,Pressure fell below the abort limit. The tube was sealed and abandoned.
nitrifier,240052,1,301,5.024636624839056,73.55549291143761,383.46441201292293,12,
nitrifier,300065,0,219,5.256345907407285,66.0037830947161,381.05631543437664,6,Pressure fell below the abort limit. The tube was sealed and abandoned.
nitrifier,360078,1,301,5.023988572608285,72.15260833059115,383.3276603982152,11,
nitrifier,420091,0,237,5.28280174536369,70.30245086803751,381.44136783044223,8,Pressure fell below the abort limit. The tube was sealed and abandoned.
nitrifier,480104,1,301,5.1256029000723,64.35475215301824,383.59124436005,8,
nitrifier,540117,1,301,5.024004097092662,70.71432427063141,383.4084679703145,13,
nitrifier,600130,0,101,6.692891734989169,79.34013853241879,373.44331980164117,4,Pressure fell below the abort limit. The tube was sealed and abandoned.
nitrifier,660143,1,301,5.129392923639252,72.4734851254839,383.30960384164496,10,
nitrifier,720156,0,80,5.589740494725896,65.87345754587894,370.68228453581054,1,Pressure fell below the abort limit. The tube was sealed and abandoned.
digester,60013,1,301,79.38712950000057,218.5319825756882,383.3020396106647,14,
digester,120026,1,301,79.38712950000057,219.47280870433124,383.1772401277845,14,
digester,180039,0,87,81.33555882900016,185.9913309204871,371.10881982281296,4,Pressure fell below the abort limit. The tube was sealed and abandoned.
digester,240052,1,301,79.40227204500054,222.09280584884507,383.41374903186454,14,
digester,300065,0,219,85.87187700000057,205.33901839161567,381.4471238827371,8,Pressure fell below the abort limit. The tube was sealed and abandoned.
digester,360078,1,301,79.38712950000057,214.12453873871266,383.8031687178912,13,
digester,420091,0,237,81.33555882900016,214.62365756275062,381.679928082125,9,Pressure fell below the abort limit. The tube was sealed and abandoned.
digester,480104,1,301,79.40227204500054,222.27754099680533,383.23829989738437,14,
digester,540117,1,301,79.38712950000057,219.2748038977788,383.2945703254646,14,
digester,600130,0,101,79.38712950000057,195.9422131913247,373.60694195764125,5,Pressure fell below the abort limit. The tube was sealed and abandoned.
digester,660143,1,301,79.69366824900044,220.10163241002863,383.1270007733044,14,
digester,720156,0,80,79.38712950000057,179.64105703522975,370.8840444697687,3,Pressure fell below the abort limit. The tube was sealed and abandoned.
all_four,60013,1,301,5.943846942598145,154.23761680585665,384.1062993499819,14,
all_four,120026,1,301,5.528535777776815,140.13119511920956,383.97914011788447,13,
all_four,180039,0,87,6.013308489176304,84.60599885393259,372.37621679733,3,Pressure fell below the abort limit. The tube was sealed and abandoned.
all_four,240052,1,301,5.936850331345072,130.2256817931835,384.25439463331253,14,
all_four,300065,0,219,6.102366105589478,129.29828014826853,382.2511358960227,8,Pressure fell below the abort limit. The tube was sealed and abandoned.
all_four,360078,1,301,5.271773776630088,122.85724603217241,384.2162232319266,13,
all_four,420091,0,234,7.14946093489379,150.8022826636578,382.7690206126511,10,Pressure fell below the abort limit. The tube was sealed and abandoned.
all_four,480104,1,301,5.955081217934321,165.20918860083157,384.0452247973925,14,
all_four,540117,1,301,5.93083473969468,148.46726450995138,384.15400893588213,14,
all_four,600130,0,101,10.074849011866831,95.60363767463046,375.175955519385,5,Pressure fell below the abort limit. The tube was sealed and abandoned.
all_four,660143,1,301,5.95634653865361,162.99648306808194,383.87338155765855,14,
all_four,720156,0,80,5.95975377808309,77.9376534017878,372.2562760482926,2,Pressure fell below the abort limit. The tube was sealed and abandoned.
fungal_rotation,60013,1,301,6.002961464077493,154.53900515097118,376.55635683933673,16,
fungal_rotation,120026,1,301,46.72641859519701,163.01549412853564,376.2277152497918,15,
fungal_rotation,180039,0,87,46.45764514348154,131.27802521505774,359.18470832011553,5,Pressure fell below the abort limit. The tube was sealed and abandoned.
fungal_rotation,240052,1,301,46.814984356400295,162.65062044237868,374.0395344603297,18,
fungal_rotation,300065,0,219,39.02026021579565,143.48162989503513,374.7285091404959,6,Pressure fell below the abort limit. The tube was sealed and abandoned.
fungal_rotation,360078,1,301,16.710857771603564,153.6922650689871,376.64695819674455,14,
fungal_rotation,420091,0,234,51.78130295288433,191.18219950045338,373.7700484912073,10,Pressure fell below the abort limit. The tube was sealed and abandoned.
fungal_rotation,480104,1,301,6.34709219497395,156.7287851674955,376.5800448951821,15,
fungal_rotation,540117,1,301,6.095886217097848,138.86881943318494,377.52945562490885,15,
fungal_rotation,600130,0,101,53.53866931382249,152.9498118017426,353.9078445048824,4,Pressure fell below the abort limit. The tube was sealed and abandoned.
fungal_rotation,660143,1,301,8.299803480735264,156.95649760767876,376.936296211143,15,
fungal_rotation,720156,0,80,48.214434131749506,113.41936560684297,360.614757469624,4,Pressure fell below the abort limit. The tube was sealed and abandoned.
algal_rotation,60013,1,301,4.905892856523077,59.69668686970555,385.4780496298399,12,
algal_rotation,120026,1,301,5.015250365327463,67.3486895711645,385.09967848511513,14,
algal_rotation,180039,0,87,4.918212812057695,56.16684042047015,377.9476740658422,3,Pressure fell below the abort limit. The tube was sealed and abandoned.
algal_rotation,240052,1,301,4.855908096415417,65.22832145584005,385.6261983996615,14,
algal_rotation,300065,0,219,4.865001505948545,52.82882657298249,384.26180048357986,9,Pressure fell below the abort limit. The tube was sealed and abandoned.
algal_rotation,360078,1,301,4.977541190872252,64.73794951057741,385.05011730445455,14,
algal_rotation,420091,0,234,4.798108046342066,54.16202583718042,384.7961998128073,9,Pressure fell below the abort limit. The tube was sealed and abandoned.
algal_rotation,480104,1,301,4.85320087842028,56.108677963229034,385.4017614721985,13,
algal_rotation,540117,1,301,4.916787488503667,65.94735136010387,385.03267277683585,16,
algal_rotation,600130,0,101,4.98598207601076,70.46116236469507,379.5151930675461,5,Pressure fell below the abort limit. The tube was sealed and abandoned.
algal_rotation,660143,1,301,4.85162644002782,63.98409913896695,385.44117863500276,14,
algal_rotation,720156,0,80,4.935511802663031,56.287088754716066,378.0195550160117,3,Pressure fell below the abort limit. The tube was sealed and abandoned.
