breadth,studio,seed,media_total,service_total,credits_end,kinds,accessions,harvests
1,0,104729,0,30780,397330,1,1,2
1,0,209458,0,30780,397330,1,1,2
1,0,314187,0,30780,397330,1,1,2
1,0,418916,0,30780,397330,1,1,2
1,0,523645,0,30780,397330,1,1,2
1,1,104729,43867,30780,436997,1,1,2
1,1,209458,43867,30780,436997,1,1,2
1,1,314187,43867,30780,436997,1,1,2
1,1,418916,43867,30780,436997,1,1,2
1,1,523645,43867,30780,436997,1,1,2
2,0,104729,0,30780,430828,2,2,7
2,0,209458,0,30780,430828,2,2,7
2,0,314187,0,30780,430828,2,2,7
2,0,418916,0,30780,430828,2,2,7
2,0,523645,0,30780,430828,2,2,7
2,1,104729,55225,30780,481853,2,2,7
2,1,209458,55225,30780,481853,2,2,7
2,1,314187,55225,30780,481853,2,2,7
2,1,418916,55225,30780,481853,2,2,7
2,1,523645,55225,30780,481853,2,2,7
3,0,104729,0,30679,446099,3,3,9
3,0,209458,0,30679,446099,3,3,9
3,0,314187,0,30679,446099,3,3,9
3,0,418916,0,30679,446099,3,3,9
3,0,523645,0,30679,446099,3,3,9
3,1,104729,66200,30679,508099,3,3,9
3,1,209458,66200,30679,508099,3,3,9
3,1,314187,66200,30679,508099,3,3,9
3,1,418916,66200,30679,508099,3,3,9
3,1,523645,66200,30679,508099,3,3,9
4,0,104729,0,30357,456727,4,4,9
4,0,209458,0,30357,456727,4,4,9
4,0,314187,0,30357,456727,4,4,9
4,0,418916,0,30357,456727,4,4,9
4,0,523645,0,30357,456727,4,4,9
4,1,104729,79296,30357,531823,4,4,9
4,1,209458,79296,30357,531823,4,4,9
4,1,314187,79296,30357,531823,4,4,9
4,1,418916,79296,30357,531823,4,4,9
4,1,523645,79296,30357,531823,4,4,9
5,0,104729,0,30517,455303,5,5,9
5,0,209458,0,30517,455303,5,5,9
5,0,314187,0,30517,455303,5,5,9
5,0,418916,0,30517,455303,5,5,9
5,0,523645,0,30517,455303,5,5,9
5,1,104729,94334,30517,545437,5,5,9
5,1,209458,94334,30517,545437,5,5,9
5,1,314187,94334,30517,545437,5,5,9
5,1,418916,94334,30517,545437,5,5,9
5,1,523645,94334,30517,545437,5,5,9
6,0,104729,0,30472,461665,6,6,10
6,0,209458,0,30472,461665,6,6,10
6,0,314187,0,30472,461665,6,6,10
6,0,418916,0,30472,461665,6,6,10
6,0,523645,0,30472,461665,6,6,10
6,1,104729,102452,30472,559917,6,6,10
6,1,209458,102452,30472,559917,6,6,10
6,1,314187,102452,30472,559917,6,6,10
6,1,418916,102452,30472,559917,6,6,10
6,1,523645,102452,30472,559917,6,6,10
7,0,104729,0,30679,463999,7,7,11
7,0,209458,0,30679,463999,7,7,11
7,0,314187,0,30679,463999,7,7,11
7,0,418916,0,30679,463999,7,7,11
7,0,523645,0,30679,463999,7,7,11
7,1,104729,111740,30679,571539,7,7,11
7,1,209458,111740,30679,571539,7,7,11
7,1,314187,111740,30679,571539,7,7,11
7,1,418916,111740,30679,571539,7,7,11
7,1,523645,111740,30679,571539,7,7,11
8,0,104729,0,30705,471315,8,8,12
8,0,209458,0,30705,471315,8,8,12
8,0,314187,0,30705,471315,8,8,12
8,0,418916,0,30705,471315,8,8,12
8,0,523645,0,30705,471315,8,8,12
8,1,104729,118930,30705,586045,8,8,12
8,1,209458,118930,30705,586045,8,8,12
8,1,314187,118930,30705,586045,8,8,12
8,1,418916,118930,30705,586045,8,8,12
8,1,523645,118930,30705,586045,8,8,12
9,0,104729,0,30230,475235,8,8,12
9,0,209458,0,30230,475235,8,8,12
9,0,314187,0,30230,475235,8,8,12
9,0,418916,0,30230,475235,8,8,12
9,0,523645,0,30230,475235,8,8,12
9,1,104729,126753,30230,597788,8,8,12
9,1,209458,126753,30230,597788,8,8,12
9,1,314187,126753,30230,597788,8,8,12
9,1,418916,126753,30230,597788,8,8,12
9,1,523645,126753,30230,597788,8,8,12
10,0,104729,0,30418,462739,8,8,10
10,0,209458,0,30418,462739,8,8,10
10,0,314187,0,30418,462739,8,8,10
10,0,418916,0,30418,462739,8,8,10
10,0,523645,0,30418,462739,8,8,10
10,1,104729,128844,30418,587383,8,8,10
10,1,209458,128844,30418,587383,8,8,10
10,1,314187,128844,30418,587383,8,8,10
10,1,418916,128844,30418,587383,8,8,10
10,1,523645,128844,30418,587383,8,8,10
