dark_frac,batteries,seed,shed_mean,harvests,survived,co2_mean,o2_mean,end_day,failure
0,0,60013,0.5464072905713324,17,1,191.55615942127923,375.76039048799726,201,
0,0,120026,0.5685312739163756,14,1,190.56731364375892,375.4085785304974,201,
0,0,180039,0.5484207150873838,3,0,135.49659744155505,360.97646177452293,87,Pressure fell below the abort limit. The tube was sealed and abandoned.
0,0,240052,0.5479371042927751,19,1,188.38474652642992,375.9182263439974,201,
0,0,300065,0.5484589160231027,17,1,190.74093764010584,375.40554259382725,201,
0,0,360078,0.558254468980025,15,1,188.68476265639913,375.47289075999726,201,
0,0,420091,0.5643219926250652,15,1,184.7208760141051,375.63822630563584,201,
0,0,480104,0.5453750349846108,19,1,193.35426688482417,375.7769282999972,201,
0,0,540117,0.5470862958315946,19,1,192.20326299019928,375.78534737999723,201,
0,0,600130,0.5395352035203549,4,0,141.04616804258788,363.5843324140395,101,Pressure fell below the abort limit. The tube was sealed and abandoned.
0,0,660143,0.5480480480480517,19,1,193.98950435836932,375.7351556579973,201,
0,0,720156,0.5134548611111127,2,0,125.02847131115878,359.7981832577695,80,Pressure fell below the abort limit. The tube was sealed and abandoned.
0,3,60013,0.5067998597967087,18,1,181.85048264199912,378.3905839999979,201,
0,3,120026,0.5460585820635959,18,1,189.73472712897663,377.39416905949753,201,
0,3,180039,0.5095398428731783,7,0,130.29506975111295,365.35195370775455,87,Pressure fell below the abort limit. The tube was sealed and abandoned.
0,3,240052,0.5086272872747547,21,1,186.65937159213436,378.4464889159979,201,
0,3,300065,0.5091490990050823,18,1,183.33081789076252,378.0640516033377,201,
0,3,360078,0.5242902208201925,18,1,179.10843770899902,378.0080607599979,201,
0,3,420091,0.5386140680442534,18,1,187.46665387981062,377.34458786452456,201,
0,3,480104,0.5058424293310977,21,1,184.64258274869314,378.56227162399796,201,
0,3,540117,0.5077024954691237,20,1,182.6197255806742,378.44377522999804,201,
0,3,600130,0.5182893289328957,5,0,152.85571315538047,366.5792142405805,101,Pressure fell below the abort limit. The tube was sealed and abandoned.
0,3,660143,0.5085899853341745,20,1,188.28468903243925,378.37580199499797,201,
0,3,720156,0.4714409722222239,4,0,112.73895757708988,364.4767978078459,80,Pressure fell below the abort limit. The tube was sealed and abandoned.
0.2,0,60013,0.4769445696259532,15,1,218.38938877020036,318.4455635318274,201,
0.2,0,120026,0.48033515221993195,15,1,219.21215255669756,314.5949954320813,201,
0.2,0,180039,0.5046588332302596,6,0,167.4134439294185,348.74851590356985,87,Pressure fell below the abort limit. The tube was sealed and abandoned.
