arm,seed,co2_floor,co2_mean,ls_share_mean,waste_processed,service_total,harvests,survived,end_day
none,60013,5.023989632125614,62.67608514439525,0.6647427033143651,0,32185,7,1,261
none,120026,5.025731053930138,70.43592976071862,0.674186143646138,0,32660,7,1,261
none,180039,5.613564677856137,70.18705155639631,0.6691164369313384,0,10722,2,0,87
none,240052,5.024636624839056,61.61721235930427,0.6731091288307116,0,32609,8,1,261
none,300065,5.256345907407285,66.0037830947161,0.6754259583529393,0,27428,6,0,219
none,360078,5.023988572608285,62.44893800416245,0.6734036262462649,0,32626,7,1,261
none,420091,5.28280174536369,70.30245086803751,0.6589799272965857,0,28959,8,0,237
none,480104,5.1256029000723,62.608821484465494,0.6745075625339394,0,32679,7,1,261
none,540117,5.024004097092662,61.07173678846553,0.672984908254185,0,32602,8,1,261
none,600130,6.692891734989169,79.34013853241879,0.7006229811655191,0,13055,4,0,101
none,660143,5.129392923639252,62.90714882678417,0.657334424256664,0,31812,7,1,261
none,720156,5.589740494725896,65.87345754587894,0.6887054014979458,0,10137,1,0,80
all,60013,5.943846942598145,141.6531084052804,0.6619980070746362,857.9999999999965,61150,13,1,261
all,120026,5.528535777776815,127.01793108793223,0.6694576900553129,857.9999999999965,61532,11,1,261
all,180039,6.013308489176304,84.60599885393259,0.6693173131016921,283.80000000000047,20358,3,0,87
all,240052,5.936850331345072,112.79724922844558,0.678038022041907,857.9999999999965,61970,12,1,261
all,300065,6.102366105589478,129.29828014826853,0.6798857348703099,719.3999999999984,52023,8,0,219
all,360078,5.271773776630088,103.84112612942967,0.6777439287111707,857.9999999999965,61955,10,1,261
all,420091,7.14946093489379,150.8022826636578,0.6671035422144143,768.8999999999977,55043,10,0,234
all,480104,5.955081217934321,156.19647976716416,0.6714902367103195,857.9999999999965,61618,14,1,261
all,540117,5.93083473969468,134.18750639108833,0.6718329745041416,857.9999999999965,61649,13,1,261
all,600130,10.074849011866831,95.60363767463046,0.7035187937488981,330.0000000000006,24309,5,0,101
all,660143,5.95634653865361,159.6854796849794,0.6539955037183638,857.9999999999965,60744,14,1,261
all,720156,5.95975377808309,77.9376534017878,0.6906733077988142,260.7000000000004,19014,2,0,80
only_worms,60013,5.02411984357465,67.76472794221463,0.6663499445609253,0,32263,7,1,261
only_worms,120026,5.026267729679911,73.3502232698097,0.6747524730601726,0,32689,7,1,261
only_worms,180039,5.613564677856137,70.84763018008591,0.6691164369313384,0,10722,2,0,87
only_worms,240052,5.557984615481571,68.48966875195457,0.6759675912921121,0,32749,9,1,261
only_worms,300065,5.26072264614595,70.4569005528146,0.6764607777307824,0,27470,6,0,219
only_worms,360078,5.024182286529834,66.47554951933056,0.6745353955270761,0,32680,7,1,261
only_worms,420091,5.875945650275518,78.35220670383733,0.6597464679930727,0,28993,8,0,237
only_worms,480104,5.1941865262375915,68.7298731891647,0.6771393701355835,0,32808,8,1,261
only_worms,540117,5.511390268529937,68.05439667729809,0.6770372912123497,0,32801,9,1,261
only_worms,600130,7.322452767389118,80.89820863725974,0.7009873839410414,0,13062,4,0,101
only_worms,660143,5.127898762834427,70.08970376825498,0.6595510457457513,0,31921,8,1,261
only_worms,720156,5.589740494725896,68.7833489628543,0.6905761329995171,0,10165,2,0,80
only_nitrifier,60013,5.023989632125614,62.67608514439525,0.6647427033143651,857.9999999999965,61305,7,1,261
only_nitrifier,120026,5.025731053930138,70.43592976071862,0.674186143646138,857.9999999999965,61780,7,1,261
only_nitrifier,180039,5.613564677856137,70.18705155639631,0.6691164369313384,283.80000000000047,20354,2,0,87
only_nitrifier,240052,5.024636624839056,61.61721235930427,0.6731091288307116,857.9999999999965,61729,8,1,261
only_nitrifier,300065,5.256345907407285,66.0037830947161,0.6754259583529393,719.3999999999984,51844,6,0,219
only_nitrifier,360078,5.023988572608285,62.44893800416245,0.6734036262462649,857.9999999999965,61746,7,1,261
only_nitrifier,420091,5.28280174536369,70.30245086803751,0.6589799272965857,778.7999999999976,55391,8,0,237
only_nitrifier,480104,5.1256029000723,62.608821484465494,0.6745075625339394,857.9999999999965,61799,7,1,261
only_nitrifier,540117,5.024004097092662,61.07173678846553,0.672984908254185,857.9999999999965,61722,8,1,261
only_nitrifier,600130,6.692891734989169,79.34013853241879,0.7006229811655191,330.0000000000006,24255,4,0,101
only_nitrifier,660143,5.129392923639252,62.90714882678417,0.657334424256664,857.9999999999965,60932,7,1,261
only_nitrifier,720156,5.589740494725896,65.87345754587894,0.6887054014979458,260.7000000000004,18985,1,0,80
only_digester,60013,79.38712950000057,213.70038679887094,0.6608829221066868,416.0000000000016,46008,13,1,261
only_digester,120026,79.38712950000057,218.64567296070342,0.6695051868252914,416.0000000000016,46452,13,1,261
only_digester,180039,81.33555882900016,185.9913309204871,0.6683151966834576,137.59999999999977,15355,4,0,87
only_digester,240052,79.40227204500054,218.8369947046289,0.6722842552280229,416.0000000000016,46575,14,1,261
only_digester,300065,85.87187700000057,205.33901839161567,0.6802513746857597,348.80000000000064,39386,8,0,219
only_digester,360078,79.38712950000057,210.02944926859925,0.6802491748473755,416.0000000000016,46995,12,1,261
only_digester,420091,81.33555882900016,214.62365756275062,0.6627136985100579,377.60000000000105,41870,9,0,237
only_digester,480104,79.40227204500054,217.18244481817112,0.6699822813102876,416.0000000000016,46457,14,1,261
only_digester,540117,79.38712950000057,214.46376016128852,0.670404963344934,416.0000000000016,46492,13,1,261
only_digester,600130,79.38712950000057,195.9422131913247,0.7036504119625256,159.9999999999997,18512,5,0,101
only_digester,660143,79.69366824900044,217.8932118880716,0.6528216199102569,416.0000000000016,45601,14,1,261
only_digester,720156,79.38712950000057,179.64105703522975,0.6917641038612271,126.3999999999998,14449,3,0,80
only_reef,60013,5.271568172791316,61.87028686912796,0.6640434706181965,0,32150,7,1,261
only_reef,120026,5.273604301772721,68.88489085860103,0.6738871556841574,0,32647,7,1,261
only_reef,180039,6.013308489176304,69.83407430747296,0.6670043831769239,0,10688,2,0,87
only_reef,240052,5.276511515017019,66.63828203769161,0.6763464791977071,0,32766,9,1,261
only_reef,300065,5.510170602316332,69.02192878904569,0.677442913638815,0,27510,6,0,219
only_reef,360078,5.271587540107385,66.7037022400577,0.6739860223693115,0,32650,7,1,261
only_reef,420091,5.6396039526848325,76.5476454632666,0.6642359461276955,0,28819,8,0,234
only_reef,480104,5.3781635725119035,65.90614441243272,0.6763300607102971,0,32768,8,1,261
only_reef,540117,5.273174182154663,63.74627114232374,0.6754176927171037,0,32721,9,1,261
only_reef,600130,7.887330338707578,84.53962068578949,0.7012995987565515,0,13067,5,0,101
only_reef,660143,5.375252369980143,62.30144983989973,0.6567129926787949,0,31783,7,1,261
only_reef,720156,5.95975377808309,71.11884102594068,0.6906733077988142,0,10166,2,0,80
without_worms,60013,5.943846942598145,147.5238299405534,0.6619980070746362,857.9999999999965,61150,13,1,261
without_worms,120026,5.557073732014083,128.4736867715665,0.6694584939619233,857.9999999999965,61532,11,1,261
without_worms,180039,6.013308489176304,86.62672676090934,0.6693173131016921,283.80000000000047,20358,3,0,87
without_worms,240052,5.936850331345072,115.66742680249605,0.6779473511576135,857.9999999999965,61965,12,1,261
without_worms,300065,6.102366105589478,134.72027074910233,0.6801389264223757,719.3999999999984,52033,8,0,219
without_worms,360078,5.272450292877265,109.92389997257848,0.6776979233272903,857.9999999999965,61953,11,1,261
without_worms,420091,7.14946093489379,157.26592431457726,0.6671035422144143,768.8999999999977,55043,10,0,234
without_worms,480104,5.955081217934321,162.49941095587948,0.6714902367103195,857.9999999999965,61618,14,1,261
without_worms,540117,5.93083473969468,139.61955747359121,0.6718329745041416,857.9999999999965,61649,13,1,261
without_worms,600130,10.074849011866831,97.11096167463043,0.7035187937488981,330.0000000000006,24309,5,0,101
without_worms,660143,5.95634653865361,164.88079370495507,0.6539955037183638,857.9999999999965,60744,14,1,261
without_worms,720156,5.95975377808309,79.15197998406626,0.6906733077988142,260.7000000000004,19014,2,0,80
without_nitrifier,60013,81.98712950000049,213.9336569386977,0.6608829221066868,416.0000000000016,46008,13,1,261
without_nitrifier,120026,81.98712950000049,218.88549674502102,0.6695051868252914,416.0000000000016,46452,13,1,261
without_nitrifier,180039,83.9355588290001,189.84112626932418,0.6683151966834576,137.59999999999977,15355,4,0,87
without_nitrifier,240052,82.00227204500047,218.20023922122508,0.6722842552280229,416.0000000000016,46575,14,1,261
without_nitrifier,300065,88.47187700000049,207.64838446064036,0.6802513746857597,348.80000000000064,39386,8,0,219
without_nitrifier,360078,81.98712950000049,206.5322021385243,0.6802491748473755,416.0000000000016,46995,12,1,261
without_nitrifier,420091,83.9355588290001,216.25208639533062,0.666193595884985,372.800000000001,41488,10,0,234
without_nitrifier,480104,82.00227204500047,217.65298870533164,0.6699822813102876,416.0000000000016,46457,14,1,261
without_nitrifier,540117,81.98712950000049,213.84572417475,0.670404963344934,416.0000000000016,46492,13,1,261
without_nitrifier,600130,81.98712950000049,200.46191781583434,0.7036504119625256,159.9999999999997,18512,5,0,101
without_nitrifier,660143,82.29366824900036,218.2949560811771,0.6528216199102569,416.0000000000016,45601,14,1,261
without_nitrifier,720156,81.98712950000049,183.80872285801445,0.6917641038612271,126.3999999999998,14449,3,0,80
without_digester,60013,5.728178136833806,66.28102265752142,0.6650910928636072,857.9999999999965,61323,8,1,261
without_digester,120026,5.274968098044916,77.5892733370087,0.6758681089496267,857.9999999999965,61865,8,1,261
without_digester,180039,6.013308489176304,70.50900958512499,0.6674324948431988,283.80000000000047,20328,2,0,87
without_digester,240052,5.7741684624522405,70.5287678550922,0.6773098851314886,857.9999999999965,61934,9,1,261
without_digester,300065,5.529172554726093,76.30773272323104,0.6783999890305102,719.3999999999984,51964,6,0,219
without_digester,360078,5.27430132969554,75.4524921585263,0.6783096690849185,857.9999999999965,61983,8,1,261
without_digester,420091,6.363469645952195,81.08951309645528,0.664539536963841,768.8999999999977,54929,8,0,234
without_digester,480104,5.845690719265611,70.5004823922901,0.6759563571812777,857.9999999999965,61869,8,1,261
without_digester,540117,5.732774641862657,66.67321814992167,0.674613283643819,857.9999999999965,61803,9,1,261
without_digester,600130,8.691494613803505,86.37967700938349,0.7016855030085903,330.0000000000006,24275,5,0,101
without_digester,660143,5.842706903344597,66.80646773510689,0.6576394295301617,857.9999999999965,60951,8,1,261
without_digester,720156,5.95975377808309,71.57724843852256,0.6906733077988142,260.7000000000004,19014,2,0,80
without_reef,60013,5.023871412305375,97.58979854959262,0.6678548662795125,857.9999999999965,61453,11,1,261
without_reef,120026,5.032034333481475,103.66306867913013,0.6777762699669885,857.9999999999965,61957,10,1,261
without_reef,180039,5.613564677856137,73.35344291081088,0.6691988012724236,283.80000000000047,20356,2,0,87
without_reef,240052,5.045401146787636,104.27019017714655,0.6775505870813733,857.9999999999965,61947,11,1,261
without_reef,300065,5.686257479934837,96.52851689182164,0.679301350929719,719.3999999999984,52001,6,0,219
without_reef,360078,5.049693382394661,90.72885131463329,0.6736754950024079,857.9999999999965,61759,9,1,261
without_reef,420091,6.107233192618703,133.4827662650738,0.6625869175908438,778.7999999999976,55551,9,0,237
without_reef,480104,5.039566744498449,106.56551320437275,0.6778990469228987,857.9999999999965,61966,12,1,261
without_reef,540117,5.510516260353617,104.55607699897507,0.6763975297633715,857.9999999999965,61891,12,1,261
